stem,long,translation,n
sexkaufverbot,sexkaufverbot,sex purchase ban,116
staatstrau,staatstrauer,state mourning,116
thiago,thiago,"thiago rausch, m.sc",116
umschlag,umschlag,cover,116
versaill,versailles,versailles,116
walpurgisnacht,walpurgisnacht,walpurgis night,116
wifo,wifo,wifo,116
abstellungspflicht,abstellungspflicht,mandatory parking,115
benefizkonzert,benefizkonzert,charity concert,115
betreuerteam,betreuerteam,attach person to staff,115
fluchtlingsverteil,flüchtlingsverteilung,refugee distribution,115
freilichtmuseum,freilichtmuseum,open air museum,115
gesuch,gesuch,request,115
malaika,malaika,malaika,115
preuss,preuss,claus preuss,115
yussuf,yussuf,yussuf,115
auszuarbeit,auszuarbeiten,elaborate,114
birmingham,birmingham,birmingham,114
dynamo,dynamo,dynamo (disambiguation,114
ekstrom,ekström,ekström,114
euractiv,euractiv,"euractiv, 2017",114
fabia,fabia,fabia,114
finanztransaktionssteu,finanztransaktionssteuer,financial transaction tax,114
ischia,ischia,ischia,114
landsmann,landsmann,dr. cord landsmann,114
pandemielag,pandemielage,pandemic,114
rsportal,rsportal,rportal,114
tuchel,tuchel,cloth,114
wildcamp,wildcampen,wild camping sounds great.,114
drees,drees,ralf drees,113
fussballprofi,fussballprofi,football professional,113
mihambo,mihambo,mihambo,113
pist,piste,piste,113
positivitatsrat,positivitätsrate,positivity rate,113
vermogensverwalt,vermögensverwaltende,asset management partnerships,113
vorbereitungstreff,vorbereitungstreffen,joint preparatory meetings,113
weiterzugeb,weiterzugeben,original language,113
alfonso,alfonso,alfonso,112
alltour,alltours,alltours equipped for multimedia communication,112
energietrag,energieträger,energy sources,112
gitarrist,gitarrist,guitarist,112
hauptsacheverfahr,hauptsacheverfahren,regarding the appeal procedure preceding the main,112
hepatitis,hepatitis,hepatitis,112
hern,herne,herne,112
jamm,jammer,jammer,112
karst,karsten,karsten wierig &,112
nort,norte,norte,112
obdi,obdi,obdi,112
olympiasieg,olympiasieg,olympic victory,112
onetz,onetz,onetz,112
reformstand,reformstand,state of reform,112
ansteckungsverdacht,ansteckungsverdacht,suspected contagion,111
atomkraftwerk,atomkraftwerk,nuclear power plant,111
epochal,epochal,taught epochally in the second half of the year,111
europaminist,europaminister,european minister,111
fidesz,fidesz,fidesz,111
gedicht,gedicht,poem,111
kaution,kaution,deposit,111
plau,plauen,plauen,111
pont,pont,pont,111
rasmuss,rasmussen,finn rasmussen,111
rushworth,rushworth,rushworth,111
sydsvenskan,sydsvenskan,sydsvenskan,111
tina,tina,tina,111
weltreis,weltreise,world travel,111
dang,dang,codonopsis pilosula,110
dell,dell,dell,110
einzuleg,einzulegen,,110
epidemia,epidemia,epidemic,110
flugverbot,flugverbot,grounding of aircraft,110
freistoss,freistoss,kick free,110
handschlag,handschlag,handshake,110
hilfsplan,hilfsplan,assistance plan,110
innehat,innehat,level of quality in mind,110
leistungstrag,leistungstragenden,performance-bearing,110
neuentwickl,neuentwicklung,new development,110
princ,princ,princ,110
schlagel,schlägel,mallets,110
sportzeit,sportzeitung,sports newspaper,110
bianconeri,bianconeri,bianconeri,109
brekalo,brekalo,brekalo,109
jess,jess,hey jess,109
lanzarot,lanzarote,lanzarote,109
minimiert,minimiert,minimized,109
murat,murat,murat,109
peders,pedersen,pedersen,109
vermittlerin,vermittlerin,owner/intermediary,109
amalfikust,amalfiküste,amalfi coast,108
aussenamt,außenamt,foreign office,108
dekra,dekra,dekra,108
doku,doku,documentation,108
dreikampf,dreikampf,sprint three distances,108
fuhrmann,fuhrmann,fuhrmann,108
hildenbrand,hildenbrand,robert hildenbrand,108
kahnert,kahnert,cows,108
rummenigg,rummenigge,karl-heinz rummenigge,108
umriss,umriss,outline,108
vastra,västra,västra,108
finanzstreit,finanzstreit,financial dispute,107
geeint,geeint,united,107
haushaltloch,haushaltlöcher,budget holes,107
kalbitz,kalbitz,veal,107
modernisiert,modernisiert,,107
niggli,niggli,niggli,107
paarung,paarung,pairing,107
silvio,silvio,silvio will,107
tebas,tebas,tebas,107
wiederaufbauhilf,wiederaufbauhilfe,reconstruction aid,107
ansteckungsquell,ansteckungsquelle,source of infection,106
betreuerstab,betreuerstab,supervisory staff,106
bola,bola,bolas,106
edmonton,edmonton,edmonton,106
etienn,etienne,etienne nigg,106
gekuhlt,gekühlt,chilled,106
gotaland,götaland,götaland,106
hedig,hediger,ivan hediger,106
hinkt,hinkt,limps,106
kapitalerhoh,kapitalerhöhung,capital increase,106
kurzarbeitsgeld,kurzarbeitsgeld,short-time working allowance is reimbursed by the employment agency,106
machtlos,machtlos,powerless,106
quia,quia,quia,106
schriftstell,schriftstelle,scripture,106
stolperstein,stolperstein,stumbling block,106
ujumfµ,ujumfµ,ujumfµ,106
varga,varga,varga,106
wiederaufbaupaket,wiederaufbaupaket,reconstruction package,106
armand,armand,armand,105
aufbauprogramm,aufbauprogramm,an organized development program can help you,105
bierhoff,bierhoff,oliver bierhoff,105
einsperr,einsperre,imprison,105
epidemiologinn,epidemiologinnen,epidemiologists,105
gegner,gegnerische,enemy power,105
genr,genre,genre,105
grub,grub,regards,105
heilbronn,heilbronn,heilbronn,105
hugh,hugh,hugh,105
jungstar,jungstar,young star,105
kopft,köpft,cuts it,105
liftforward,liftforward,liftforward,105
momax,mömax,13000; ***mömax,105
mujinga,mujinga,"<g id=""1"">mujinga kambundji fastest</g><g id=""2""> </g><g id=""3"">woman in switzerland</g>",105
negativzins,negativzinsen,negative rate,105
nora,nora,nora,105
ohisalo,ohisalo,ohisalo,105
stringenzwert,stringenzwert,stringent value,105
suiss,suisse,suisse,105
verkeilt,verkeilten,wedged,105
adel,adel,nobility,104
ammon,ammon,ammon,104
ausgeschied,ausgeschied,retired,104
consulting,consulting,consulting,104
empfing,empfing,received,104
familienkreis,familienkreis,family circle of friends made of clay,104
jest,jest,jest,104
landerspieltor,länderspieltor,international goal,104
playground,playground,playground,104
polt,polt,polt,104
reisemog,reisemöglichkeit,travel restrictions,104
routini,routinier,who replaced veteran dirk deritter,104
saak,saak,"name:<x id=""1""/>björn saak",104
schar,schar,sharp,104
stol,stol,stol,104
thum,thum,thum,104
trippelschritt,trippelschritt,triple step,104
vierstund,vierstündige,"after completion of sterilisation, the four-hour desorption phase begins",104
witzig,witzig,that’s funny,104
bensheim,bensheim,bensheim,103
domagoj,domagoj,domagoj,103
feminist,feminist,black feminist,103
flugzeugbau,flugzeugbau,aircraft construction,103
gastspiel,gastspiel,the visiting teams,103
handballbund,handballbund,german handball federation,103
heikel,heikel,tricky,103
hwang,hwang,hwang,103
krim,krim,crimea,103
massenentlass,massenentlassung,mass layoff,103
navalny,navalny,navalny,103
neymar,neymar,vai neymar,103
panorama,panorama,panorama,103
produktionsstandort,produktionsstandort,production site,103
schlagzeug,schlagzeug,drum kit,103
schriftstellerin,schriftstellerin,writer (female,103
sibl,sibler,more sensitive,103
siegtreff,siegtreffer,winning goal,103
tripck,tripcke,tripcke,103
uberschattet,überschattet,overshadowed,103
verbrennungsmotor,verbrennungsmotor,internal combustion engine,103
wandlung,wandlung,conversion,103
wirtschaftsleb,wirtschaftsleben,economic life,103
adrian,adrian,adrian,102
filmemach,filmemacher,filmmakers,102
goran,goran,goran vidakovic,102
raffaela,raffaela,raffaela,102
romano,romano,romano,102
schopp,schöpp,scoop,102
strafraum,strafraum,penalty area,102
tabellenspitz,tabellenspitze,top of the table,102
vertief,vertiefen,did they not deepen,102
astra,astra,astra,101
beda,beda,sorry,101
beethov,beethoven,beethoven,101
brandstift,brandstiftenden,incendiary,101
carolin,carolin,carolin,101
lombardi,lombardi,lombardi,101
qualifikationsturni,qualifikationsturnier,qualification tournament,101
schweinfurt,schweinfurt,schweinfurt,101
sehenswert,sehenswert,sightseeing,101
verzwergt,verzwergt,dwarfed,101
weltcup,weltcup,ski world cup,101
angert,angert,bangert,100
aula,aula,school hall,100
dittwar,dittwar,dittwar,100
gdynia,gdynia,gdynia,100
heruntergerechnet,heruntergerechnet,from the thermally determined measurements,100
kessing,kessing,kessing,100
kompromisslini,kompromisslinie,compromise line,100
lastenrad,lastenrad,cargo bike,100
lebensstil,lebensstil,lifestyle,100
mist,mist,mist,100
pendlerinn,pendlerinnen,commuters,100
philharmon,philharmoniker,duisburg philharmonic orchestra,100
plastikmull,plastikmüll,plastic refuse,100
reykjav,reykjavik,reykjavík,100
showdown,showdown,showdown,100
stahlindustri,stahlindustrie,steel,100
sundstrom,sundström,sundström,100
ursprungsartikel,ursprungsartikel,"commentaries <x id=""1""/>on the original article",100
wasserkraft,wasserkraft,hydropower,100
yves,yves,yves roth,100
zollunion,zollunion,"customs union, f",100
abwass,abwasser,waste water,99
appetit,appetit,appetite,99
arbeitgeberverband,arbeitgeberverband,"employers' association, m",99
arminia,arminia,arminia,99
athletics,athletics,athletics,99
bcfs,bcfs,bcfs,99
brandt,brandt,brandt,99
bung,bung,description,99
buyx,buyx,buyx,99
dani,dani,dani,99
delaney,delaney,kristin delaney,99
einzugreif,einzugreifen,to intervene in the machine,99
erasmus,erasmus,20 years of erasmus in europe,99
isfgµ,isfgµ,isfgµ,99
mobelix,möbelix,möbelix,99
schuldenkris,schuldenkrise,debt crisis,99
stromerzeug,stromerzeuger,generator,99
testperson,testperson,test person,99
verteilschlussel,verteilschlüssel,distribution key,99
weissruss,weissrussen,belarusians,99
buhl,buhl,buhl,98
fitt,fitte,fit mama,98
gemeinhin,gemeinhin,when speaking of the,98
herman,herman,herman,98
jubel,jubel,jubilation,98
kolumn,kolumne,column,98
kompromisswill,kompromisswillen,willingness to compromise,98
lektion,lektion,lesson,98
mettenleit,mettenleiter,mettenleiter,98
nowitschok,nowitschok,nowitschok,98
onkel,onkel,uncles,98
partout,partout,absolutely,98
quartett,quartett,happy families,98
recharg,recharge,,98
regierungsspitz,regierungsspitze,top government,98
schwingt,schwingt,hammer is swinging,98
seropravalenz,seroprävalenz,seroprevalence,98
sprichwort,sprichwort,proverb,98
stettin,stettin,szczecin,98
tommy,tommy,tommy,98
versammlungsbeschrank,versammlungsbeschränkung,gathering restriction,98
winterthur,winterthur,winterthur,98
wirtschaftsstruktur,wirtschaftsstruktur,economic structure,98
anteilsbesitz,anteilsbesitzes,list of shareholdings,97
arbeitskreis,arbeitskreis,discussion circle,97
barrington,barrington,barrington,97
begibt,begibt,will proceed to the assembly point,97
bhattacharya,bhattacharya,bhattacharya,97
blatny,blatny,blatny,97
damir,damir,oops! that page can’t be found,97
durchkreuzt,durchkreuzt,a narrow rockslide crosses the route,97
finanzierungsrund,finanzierungsrunde,"<g id=""1"">financing round<x id=""2""/></g>",97
gerard,gerard,gerard,97
iihf,iihf,iihf,97
joao,joao,joao gilberto,97
mahnwach,mahnwache,vigil,97
margraf,margraf,"j. margraf, pd dr. phil",97
melania,melania,melania,97
novak,novak,novak,97
phoenix,phoenix,phoenix,97
rerum,rerum,rerum,97
ruhpolding,ruhpolding,ruhpolding,97
samos,samos,samos,97
sancho,sancho,sancho,97
sitzplatzkapazitat,sitzplatzkapazität,seating capacity,97
unterschreit,unterschreiten,underperform,97
bafin,bafin,bafin,96
drittstaatsangehor,drittstaatsangehörige,third-country nationals,96
erfolgsgaranti,erfolgsgarantie,guarantee of success,96
exempel,exempel,example,96
fohm,fohm,fohm,96
geradesteh,geradestehen,stand straight,96
hommag,hommage,homepage,96
immunitatspass,immunitätspass,immunity pass,96
irritation,irritation,irritation,96
kachelmann,kachelmann,tile man,96
kasim,kasim,paruh kasim,96
linienverkehr,linienverkehr,scheduled services,96
menschenhandel,menschenhandel,trafficking in human beings,96
misserfolg,misserfolg,failure,96
newstick,newsticker,news ticker,96
schleimhaut,schleimhaut,mucous membrane,96
trab,trab,trot,96
trumpf,trumpf,trumpstercan,96
uberquert,überquert,crossed,96
umeå,umeå,umeå,96
vanessa,vanessa,vanessa,96
vollzeitkraft,vollzeitkraft,full-time employee - security guards,96
vorentscheid,vorentscheid,requires preliminary decision by tso,96
wohnungstur,wohnungstür,front door,96
yoga,yoga,yoga,96
altmann,altmann,altmann,95
beitragssatz,beitragssatz,premium rate,95
geig,geige,violin,95
hammerl,hammerl,christoph hammerl,95
heidenreich,heidenreich,axel heidenreich,95
herzog,herzog,duke,95
kohlenstofffrei,kohlenstofffreie,carbon-free connections,95
melsung,melsungen,melsungen,95
naidoo,naidoo,naidoo,95
roadtrip,roadtrip,roadtrip,95
schwedendemokrat,schwedendemokraten,swedish democrats,95
schwetzing,schwetzingen,schwetzingen,95
toronto,toronto,toronto,95
vorhang,vorhang,curtain,95
zeneca,zeneca,zeneca,95
abmild,abmildern,proactively manage and mitigate,94
aylward,aylward,aylward,94
betriebsschliess,betriebsschliessung,business closure,94
bundeshe,bundesheer,army,94
consequatur,consequatur,consequatur,94
elfmet,elfmeter,penalties,94
gerw,gerwen,michael van gerwen - mvg logo,94
kirby,kirby,kirby,94
klimaforsch,klimaforscher,german climate researcher calls for immediate shutdown of lignite-fired power plants,94
konsensfah,konsensfähig,capable of reaching a consensus,94
krankheitsverdacht,krankheitsverdächtig,suspicious of illness,94
leitfad,leitfaden,guide,94
martinez,martinez,martinez,94
mitsamt,mitsamt,group including it's ads deleted,94
mobidiag,mobidiag,mobidiag,94
schutzwand,schutzwand,at a distance,94
startups,startups,startups,94
unternahm,unternahm,undertook,94
virussequenz,virussequenz,virus sequence,94
wurst,wurst,sausage,94
zukunftsfah,zukunftsfähig,become sustainable,94
agnetha,agnetha,agnetha,93
allemal,allemal,always,93
althaus,althaus,althaus,93
benedikt,benedikt,benedikt,93
berlusconi,berlusconi,berlusconi,93
berufslehr,berufslehre,vocational training,93
centro,centro,centro,93
chrupalla,chrupalla,chrupalla,93
einzubring,einzubringen,being issued,93
eiskalt,eiskalt,cold as ice,93
eurostoxx,eurostoxx,eurostoxx 50,93
fototermin,fototermin,photocall,93
frauenquot,frauenquote,quota for women,93
furlan,furlan,prof. andrea furlan,93
hallowe,halloween,halloween,93
marijan,marijan,"vilic, marijan",93
mobelbranch,möbelbranche,furniture industry,93
primus,primus,primus,93
rechtstaat,rechtstaat,rule of law,93
schaffhaus,schaffhausen,schaffhausen,93
schnellig,schnelligkeit,speed,93
udssr,udssr,ussr,93
wismar,wismar,wismar,93
xinjiang,xinjiang,xinjiang,93
amendola,amendola,amendola,92
attacki,attackiere,attack the ghost ship,92
easa,easa,easa,92
genoni,genoni,genoni,92
gessl,gessle,gessle,92
gundogan,gündogan,gündogan,92
jutland,jütland,jutland,92
klimaneutralitat,klimaneutralität,net zero co2 emissions,92
kolmar,kolmar,gertrud-kolmar-weg 1,92
lodeweg,lodeweges,lodeweges,92
raket,rakete,rocket,92
steuersenk,steuersenkung,20% because of the tax cut,92
unterbrach,unterbrach,ben interrupted,92
amri,amri,amri razali,91
arbeitszimm,arbeitszimmer,study,91
ausgibt,ausgibt,money unwisely,91
beckenbau,beckenbauer,franz beckenbauer,91
dachau,dachau,dachau,91
distanzmassnahm,distanzmassnahmen,distance measures,91
fernab,fernab,far from the,91
glaw,glawe,manuela glawe,91
haie,haie,sharks,91
haushaltsproblem,haushaltsprobleme,contacts for residential issues,91
hoekstra,hoekstra,mr. hessel hoekstra,91
hospitalisation,hospitalisation,hospitalisation,91
jura,jura,jura,91
kinderzimm,kinderzimmer,children's room,91
krebskrank,krebskrank,cancerous,91
lesezeit,lesezeit,reading time,91
melodi,melodi,melodies,91
neff,neff,neff,91
neidisch,neidisch,neimals,91
omnis,omnis,containing omnis,91
pflegenotstand,pflegenotstand,nursing crisis,91
pokal,pokal,trophy,91
popularst,populärste,most popular,91
sonnenstrom,sonnenstrom,solar power,91
sozialvertrag,sozialverträge,social contracts,91
spielberg,spielberg,spielberg,91
spielerinn,spielerinnen,information for players,91
steyr,steyr,steyr,91
turnierseri,turnierserie,tournament series,91
umweltverschmutz,umweltverschmutzen,polluting the environment,91
unermess,unermesslich,immeasurable,91
verona,verona,verona,91
zukunftsaufgab,zukunftsaufgabe,future task,91
butl,butler,butler,90
çavusoglu,çavusoglu,çavusoglu,90
chios,chios,the town of chios,90
draisaitl,draisaitl,draisaitl,90
février,février,february,90
gersemann,gersemann,gersemann,90
hausparty,hausparty,at a house party,90
lenoir,lenoir,lenoir,90
mitarbeiterstab,mitarbeiterstab,staff,90
moretti,moretti,moretti,90
nasa,nasa,nasa,90
nfejbµ,nfejbµ,nfejbµ,90
ostschweiz,ostschweiz,eastern switzerland (ethikkommission ostschweiz,90
polizeichef,polizeichef,chief of police,90
rogl,rögle,rögle,90
ronnow,ronnöw,ronnow,90
scheid,scheid,scheid,90
snepp,sneppen,snipe,90
staunt,staunt,is amazed,90
straubing,straubing,straubing,90
studhalt,studhalter,student holder,90
uberfahrt,überfahrt,on the ferry,90
veran,veran,initiate,90
winkl,winkle,angle adapter,90
allheilmittel,allheilmittel,panacea,89
ausgebrem,ausgebremst,slowed down,89
autodidakt,autodidakt,autodidactic,89
beschaftigungsverhaltnis,beschäftigungsverhältnis,employment relationship,89
deklaration,deklaration,declaration,89
ermachtigungsgesetz,ermächtigungsgesetz,"enabling act, § 2",89
flugel,flügel,casement,89
françois,françois,françois,89
gian,gian,baur gian reto,89
griezmann,griezmann,iniesta and griezmann,89
heldt,heldt,your markus heldt,89
hrend,hrend,while,89
ishak,ishak,ishak jonas isik,89
krankheitswell,krankheitswelle,wave of illness,89
lehtikuva,lehtikuva,lehtikuva,89
mert,merten,byrne,89
nervositat,nervosität,nervousness,89
ondrej,ondrej,ondrej baier,89
platzier,platzierung,placement,89
reformplan,reformplan,reform plan,89
sascha,sascha,sascha,89
sicherheitsrisiko,sicherheitsrisiko,safety risk,89
skiverband,skiverband,tyrolean ski association district reutte,89
thiem,thiem,petra thiem,89
vladimir,vladimir,vladimir,89
vorarbeit,vorarbeit,preliminary work,89
warent,warentest,stiftung warentest,89
windstrom,windstrom,wind power,89
angenahert,angenähert,approximated,88
ansetzt,ansetzt,where plaque attaches itself,88
audio,audio,audio,88
beherzt,beherzt,we dare to ask,88
belfodil,belfodil,belfodil,88
bell,belle,belle,88
biomass,biomasse,biomass,88
bitcoin,bitcoin,bitcoin,88
diplomati,diplomatie,diplomacy,88
endstand,endstand,final score,88
fasel,fasel,babble,88
gamestop,gamestop,"at gamestop deutschland gmbh, memmingen",88
kristiansand,kristiansand,kristiansand,88
mateta,mateta,mateta,88
neuengamm,neuengamme,neugamme,88
neumarkt,neumarkt,neumarkt,88
pattinson,pattinson,robert pattinson,88
radweg,radweg,cycle path,88
restart,restart,restart,88
ruckspiel,rückspiel,second leg,88
schnellfahr,schnellfähre,fast ferry,88
sondereffekt,sondereffekt,one-off ipo costs,88
telemedizin,telemedizin,tele medicine,88
terminal,terminale,terminal,88
tinnitus,tinnitus,tinnitus,88
trelleborg,trelleborg,trelleborg,88
universitatsstadt,universitätsstadt,university town,88
wasserstoffantrieb,wasserstoffantrieb,hydrogen vehicle,88
wegbereit,wegbereitend,pioneering,88
armbeug,armbeuge,sneeze and cough,87
aufhorch,aufhorchen,listen up - hearing aids,87
belachelt,belächelt,that is often ridiculed,87
betriebsvereinbar,betriebsvereinbarung,works agreement,87
commerzbank,commerzbank,commerzbank,87
einreiseanmeld,einreiseanmeldung,entry registration,87
energiemix,energiemix,energy mix,87
grenzsteu,grenzsteuer,explain vat/marginal tax,87
grunewald,grunewald,grunewald,87
helena,helena,helena,87
kohlekraftwerk,kohlekraftwerk,coal power plant,87
krus,kruse,kruse,87
kursziel,kursziel,target price,87
leserinn,leserinnen,dear,87
lift,lifte,lifts,87
marzo,marzo,march,87
medienarbeit,medienarbeit,media relations,87
meisterin,meisterin,automatic machinery specialist,87
osterreichweit,österreichweit,throughout austria,87
parkett,parkett,parquet,87
schrill,schrill,skrill api,87
totalschad,totalschaden,total write-off,87
weltmeisterin,weltmeisterin,world champion,87
workshops,workshops,workshops,87
benachricht,benachrichtigen,notify ico,86
boen,boen,boen,86
bomb,bombe,bomb,86
bronz,bronze,bronze,86
enzo,enzo,enzo,86
haushaltsdefizit,haushaltsdefizit,budget deficit,86
henn,henne,"hen, f",86
jogeva,jogeva,jogeva,86
mikel,mikel,john obi mikel,86
neunzig,neunzig,ninety,86
neutralitat,neutralität,neutrality,86
okologisier,ökologisierung,greening,86
oranj,oranje,orange,86
originalmeld,originalmeldung,original message,86
oskar,oskar,oskar,86
oyarzabal,oyarzabal,oyarzabal,86
rechtsstaatsklausel,rechtsstaatsklausel,rule of law clause,86
rodionov,rodionov,rodionov,86
seehaf,seehafen,sea port,86
servett,servette,servette,86
shops,shops,shops,86
stromverbrauch,stromverbrauch,power consumption,86
tabubruch,tabubruch,breaking a taboo,86
tattoos,tattoos,tattoos,86
tradition,traditione,traditions,86
vienna,vienna,vienna,86
xfoo,xfoo,xfoo,86
arnold,arnold,arnold (given name,85
arztekreis,ärztekreis,medical association,85
bedarfsanalys,bedarfsanalyse,needs assessment,85
bruun,bruun,bruun &amp; hjejle,85
ersparnis,ersparnis,savings,85
florin,florin,florin ag,85
halbzeitpaus,halbzeitpause,"extra time ""half-time interval""; 2nd",85
hammel,hammel,sheep,85
heimatort,heimatort,home town,85
henriksson,henriksson,henriksson,85
huhn,huhn,chicken,85
konfrontationskur,konfrontationskurs,a confrontational course,85
kopp,kopp,kopp,85
leck,leck,leakage,85
ligaspiel,ligaspiel,played,85
mulheim,mülheim,mülheim,85
nfis,nfis,nfis,85
pajala,pajala,pajala,85
pragmatismus,pragmatismus,pragmatism,85
regisseurin,regisseurin,female director,85
rockband,rockband,rock band,85
sist,sist,emniyet sist,85
soderstrom,söderström,söderström,85
stoll,stoll,stoll,85
surinam,surinam,surinam,85
vertikal,vertikal,vertically,85
vorrund,vorrunde,lg ineke,85
abiturtermin,abiturtermine,graduation dates,84
bachmann,bachmann,bachmann,84
bedenkenlos,bedenkenlos,there are absolutely no concerns,84
betriebsergebnis,betriebsergebnis,operating result,84
bolt,bolt,bolt,84
bullmann,bullmann,wolfgang bullmann,84
cassis,cassis,cassis,84
chefvirolog,chefvirologe,chief virologist,84
coronabond,coronabonds,coronabonds,84
finanzplan,finanzplan,financial plan,84
fitbit,fitbit,fitbit,84
flyer,flyer,flyer,84
furtwangl,furtwängler,furtwangler,84
gulacsi,gulacsi,gulacsi,84
helikoptergeld,helikoptergeld,it therefore comes as no surprise that helicopter money is also being discussed,84
janina,janina,janina,84
mittelberg,mittelberg,mittelberg,84
reck,reck,horizontal bar,84
saki,saki,saki,84
skan,skane,skane,84
staatenlenk,staatenlenker,state leaders,84
stadtrival,stadtrivale,city rivals,84
umweltpolit,umweltpolitik,environmental policy,84
weidel,weidel,"weidel, he thought",84
worm,worm,doritt worm,84
anklam,anklam,anklam,83
ausgestorb,ausgestorben,deserted,83
bundn,bündner,graubünden-style barley soup,83
división,división,division,83
doctyp,doctype,doctype,83
dubrovn,dubrovnik,dubrovnik,83
eingespielt,eingespielt,recorded,83
ferieninseln,ferieninseln,vacation islands,83
hernández,hernández,hernández,83
hungrig,hungrig,hungry,83
inditex,inditex,inditex,83
juin,juin,juni (0,83
lafayett,lafayette,lafayette,83
musikbranch,musikbranche,music industry,83
nass,nass,wet,83
onlineshops,onlineshops,online stores,83
rechnungshof,rechnungshof,court of auditors,83
reformzusag,reformzusagen,reform commitments,83
roma,roma,roma,83
saga,saga,saga,83
seitenwechsel,seitenwechsel,change sides,83
speerwerf,speerwerfen,javelin,83
tangn,tangnes,tangnes,83
uberhastet,überhastet,hastily,83
unternehmensbereich,unternehmensbereich,company division,83
winterspiel,winterspiele,winter games,83
wortfuhr,wortführer,word leader,83
yuya,yuya,yuya,83
ziesch,ziesche,ziesche,83
assar,assar,global economy prize - assar lindbeck,82
assist,assists,assists,82
auswechsl,auswechslung,substitution,82
compact,compact,compact,82
deauvill,deauville,deauville,82
elternzeit,elternzeit,parental leave,82
gesamtumfang,gesamtumfang,teaching units total,82
kraichgau,kraichgau,sparkasse kraichgau,82
livetick,liveticker,live ticker,82
mascarillas,mascarillas,mascarillas,82
niels,nielsen,nielsen,82
personn,personne,+ person,82
playlist,playlist,playlist,82
radier,radierung,etching,82
rebecca,rebecca,rebecca,82
repari,repariere,repair,82
sigrid,sigrid,sigrid,82
tatowi,tätowieren,tattoo,82
topspiel,topspiel,"all of the security teams, the",82
verwaltungsrat,verwaltungsrat,administrative board,82
abraum,abräumen,or clearing up,81
allyson,allyson,allyson,81
brantn,brantner,brantner markus,81
complexity,complexity,complexity,81
creditreform,creditreform,creditreform,81
grossmacht,grossmacht,great power,81
hauptstreitpunkt,hauptstreitpunkt,main point of contention,81
horrorfilm,horrorfilm,horror film,81
klimatet,klimatet,air-conditioned,81
michaela,michaela,michaela,81
monarchy,monarchy,monarchy,81
moustafa,moustafa,moustafa,81
nachholtermin,nachholtermin,wednesday catch-up,81
regierungsmassnahm,regierungsmaßnahme,government action,81
reisezeit,reisezeit,travel time,81
salathé,salathé,2005 design of site trailers / salathé horticulture,81
sondervollmacht,sondervollmachten,i hereby revoke any and all general powers of attorney and special powers of attorney that,81
spindelegg,spindelegger,spindelegger,81
steuerzahlerbund,steuerzahlerbund,taxpayer association,81
transfermarkt,transfermarkt,transfermarkt,81
vergabekriteri,vergabekriterien,award criteria,81
vernagelt,vernagelt,nailed up,81
voluptas,voluptas,nemo enim ipsam voluptatem quia voluptas sit aspernatur,81
vorstuf,vorstufe,preamplifier,81
amir,amir,amir,80
aubièr,aubière,aubière,80
auslieferungsantrag,auslieferungsantrag,extradition request,80
bengtsson,bengtsson,bengtsson,80
debakel,debakel,debacle,80
dropbox,dropbox,dropbox,80
elmar,elmar,elmar,80
enthullungsplattform,enthüllungsplattform,unveiling platform,80
ferienbeginn,ferienbeginn,2 days before the start of the holiday or no show 100,80
fragmentier,fragmentierung,fragmentation,80
gastein,gastein,gastein,80
gegenlauf,gegenläufig,contra-rotating,80
heizpilz,heizpilz,patio heater,80
karlik,karlik,karlik,80
kreisky,kreisky,kreisky,80
kreisrund,kreisrunde,round circular pendant silver necklace,80
masqu,masques,masques,80
mehrt,mehrt,more,80
nordgriechenland,nordgriechenland,northern greece,80
notgedr,notgedrungen,of necessity,80
papendal,papendal,papendal,80
qmbzfs,qmbzfs,qmbzfs,80
rentensystem,rentensysteme,pension schemes,80
rink,rink,rink,80
roja,roja,roja,80
schachtanlag,schachtanlage,shaft system,80
skolstrejk,skolstrejk,skolstrejk,80
slalom,slalom,slalom,80
stahlscheib,stahlscheibe,the steel plate is chromium-plated,80
stelz,stelzen,stilt,80
tonfall,tonfall,tone of voice,80
tumor,tumor,tumour,80
uberspr,übersprung,skipped,80
warnemund,warnemünde,warnemünde,80
amberg,amberg,amberg,79
auswartsspiel,auswärtsspiel,away,79
baltic,baltic,baltic,79
colly,collyer,collyer bristow have provided me,79
eingepreist,eingepreist,prices are set for the installation of the number,79
ernahrungsunsich,ernährungsunsicherheit,food insecurity,79
glanzt,glänzt,paint shines,79
harmoni,harmoni,harmoni,79
hren,hren,your&,79
klett,kletter,climbing paradise,79
knopf,knopf,button,79
lyrik,lyrik,lyrics,79
mitfavorit,mitfavorit,one of the favorites,79
nikola,nikola,nikola breu,79
partnerstadt,partnerstadt,twin town,79
seng,seng,soh chee seng,79
soundtrack,soundtrack,soundtrack,79
stopf,stopfe,stuff,79
verschweigt,verschweigt,kept silent,79
vojtech,vojtech,vojtech vojtko,79
vorsaison,vorsaison,pre season,79
waltraud,waltraud,waltraud lun,79
arbeitnehmerseit,arbeitnehmerseite,negotiations with the employee side,78
asylverfahr,asylverfahren,procedure for granting asylum right,78
branson,branson,richard branson,78
casinos,casinos,casinos,78
coronapolit,coronapolitik,coronavirus policy,78
daei,daei,daei,78
einzelhandelsumsatz,einzelhandelsumsatz,commission/yearly retail turnover,78
einzuplan,einzuplanen,working days,78
entgegenzutret,entgegenzutreten,to oppose,78
