stem,long,translation,n
godkend,godkende,both the incident manager and the working environment representative must then approve the action,576
indlag,indlagt,hospitalized,575
adgang,adgang,access,574
park,park,park,574
sikt,sikt,sieve,574
arbejdet,arbejdet,the work,573
fodbold,fodbold,football,573
spred,spred,they spread and spread,573
bekymring,bekymring,worry,572
facebook,facebook,facebook,572
forr,forr,forr,572
mort,mort,discworld,571
nødt,nødt,have to,571
kilomet,kilometer,kilometre,570
ordför,ordförande,chairman,570
smittetilfell,smittetilfella,case of infection,570
ungefär,ungefär,approximately,570
akut,akut,acute,569
andre,andrea,andrea,569
energi,energi,energy,569
sidd,sidde,sit,568
uttal,uttala,pronunciation,566
dagbladet,dagbladet,dagbladet,564
institutet,institutet,institutes,564
beslutet,beslutet,the decision,562
fullt,fullt,built to be fully,562
kroati,kroatia,croatia,562
kommission,kommission,commission,561
indi,india,india,560
metod,metod,method,560
united,united,united,560
yngr,yngre,younger,560
idag,idag,today,559
president,presidenta,president,559
betyde,betydelig,significantly,558
princip,princip,princip,558
aarhus,aarhus,aarhus,557
samtal,samtal,conversation,556
likevel,likevel,nevertheless,555
slog,slog,she swung,555
skjer,skjer,to happen,554
antikropp,antikroppar,ab,551
selskapet,selskapet,the company is therefore not required to pay registration fees and excise duty,550
andersson,andersson,anderson,549
tjecki,tjeckien,cz,549
brittisk,brittisk,british,548
generelt,generelt,general,548
germany,germany,germany,548
noter,notera,note,547
essay,essay,essay,546
formål,formål,levnedsmiddel/levnedsmidler til særlige medicinske formål,546
fortset,fortsette,vil du bekrefte og fortsette med din bestilling,545
host,hosta,cough,545
sikkert,sikkert,for sure,545
leyen,leyen,leyen,544
huset,huset,finding the house,543
initiativ,initiativ,initiatives,543
spørsmål,spørsmål,it wasn't a question,543
møde,møde,meeting,542
arbetet,arbetet,work,541
bevis,bevis,evidence,541
rejsend,rejsende,travelers,541
tillgång,tillgång,asset,541
herr,herr,mr,540
advar,advarer,warns,539
åring,åring,so here is a 51-year-old,539
tegn,tegn,xxx,539
turnering,turnering,tournament,539
uanset,uanset,regardless,539
uken,uken,the week,539
utbrot,utbrot,outbreak,538
fundet,fundet,not found,537
förändr,förändra,change,536
foreløb,foreløbig,for the time being,536
fortalt,fortalt,told,536
foråret,foråret,spring,535
kveld,kveld,evening,535
markant,markant,read ‘increased significantly,534
websit,website,website,532
behovet,behovet,the need,531
gäst,gäst,guest,531
havn,havn,port,531
hjælp,hjælp,help,531
nordmen,nordmenn,norwegians,531
löfv,löfven,"löfven, stefan (2013, may 1",530
omfattend,omfattende,comprehensive,530
avslut,avslut,completion,529
buss,buss,bus,529
undgå,undgå,escape discomfort,529
fall,falla,fall,528
nyhetsbyrån,nyhetsbyrån,swedish news bureau,528
påpek,påpeka,to declare,528
sidan,sidan,side,528
skäl,skäl,reasons,528
fyld,fylde,fullness,527
gradvis,gradvis,by progressive stages,527
invester,investera,invest,526
münchen,münchen,munich,525
tillkännag,tillkännage,declare comment spam bankruptcy,525
forslag,forslag,proposed allocation of results,524
säkert,säkert,safe,524
tyde,tydelig,clearly,524
förlor,förlora,lose,523
pasient,pasient,patient,523
aldri,aldri,never,522
fallet,fallet,the case,522
häls,hälsa,health,522
røde,røde,red,522
ukrain,ukrain,ukrain,522
fordel,fordel,advantage,521
drar,drar,hauling,520
diskussion,diskussion,discussion,519
forbi,forbi,johan took the car and first managed a swing for the bay,519
håndter,håndtere,handle,519
försäljning,försäljning,sales,518
højest,højest,highest,518
mist,mist,mist,518
tillåtn,tillåtna,allow,518
dynamo,dynamo,dynamo,517
uker,uker,weeks,517
denmark,denmark,denmark,516
istället,istället,instead,516
problemet,problemet,the problem,516
bring,bringe,bring,515
derudov,derudover,in addition,515
dødstallet,dødstallet,death toll,515
enkl,enkla,simple,515
redd,redd,roadstead,515
rejsevejledning,rejsevejledning,travel guide,515
respektiv,respektive,each,515
skrevet,skrevet,written,515
udfordring,udfordring,challenge,515
soldat,soldatar,soldiers,514
trol,trolig,likely,514
blot,blot,blót,513
avråd,avråda,dissuade,512
samband,samband,relationship,512
tillräck,tillräcklig,sufficient,512
nyhed,nyhed,news,511
skilln,skillnad,difference,511
vint,vinter,winter,511
selskab,selskab,company,510
tillåtet,tillåtet,date of authorisation,510
virusset,virusset,the virus,509
betydning,betydning,meaning,508
david,david,david,507
folketinget,folketinget,folketing,507
förutsättning,förutsättning,requirement,507
minist,minister,government minister,507
lavet,lavet,made,505
prioriter,prioritera,prioritise,505
indrejs,indrejse,entry,504
stärk,stärk,strong,503
lördag,lördag,saturday,502
sykehus,sykehus,hospital,502
affär,affär,store,501
bergman,bergman,bergman,501
papp,papp,cardboard,501
tomm,tomma,blank,501
koncert,koncert,concert,500
sälj,sälj,sales,500
hent,henta,henta,499
hidtil,hidtil,so far,499
omgang,omgang,turn,499
statsminister,statsministeren,the prime minister,499
brukt,brukt,used,498
coronaviruss,coronavirussen,coronaviruses,498
køre,køre,run,498
misstänk,misstänka,suspect,498
søren,søren,søren djørup,497
thailand,thailand,th,497
brasili,brasilien,br,496
igång,igång,running,496
slet,slet,"slet, aarhus",496
tillväxt,tillväxt,growth,496
betyr,betyr,kristin - which means,495
pågår,pågår,in progress,495
tilgang,tilgang,access restrictions,495
føler,føler,feel,494
lars,larsa,larsa,494
lignend,lignende,related products,494
champion,champions,champions,493
hann,hann,he,493
risiker,risikere,risk,493
skyddsutrustning,skyddsutrustning,protective equipment,493
äldreboend,äldreboende,retirement home,492
kong,kong,kong,492
voksn,voksne,adults,492
förutom,förutom,except,491
handel,handel,trade,490
flygplats,flygplatsen,the airport,488
inklusiv,inklusiv,inclusive gateway,488
påsk,påsk,easter,488
pengen,pengene,the money,488
pressemød,pressemøde,press conference,488
sjælland,sjælland,sjælland,488
spahn,spahn,spahn,488
hund,hund,dog,487
slutning,slutning,exclusion as stated above,487
besluttet,besluttet,decided,486
hvornår,hvornår,when,486
projek,projekt,projects,486
sosial,sosial,social,486
strikt,strikt,strict,485
fyll,fyll,,484
indfør,indføre,introduce,484
långsikt,långsiktig,long-term sustainability,484
nordkore,nordkorea,north korea,484
understreg,understrege,emphasize,484
grænse,grænse,border,483
konsert,konsert,concert,483
prøver,prøver,tries to gauge the meaning of this,483
form,forma,shape,481
afrik,afrika,africa,480
effektivt,effektivt,efficiently,480
endt,endt,endt,480
ingenting,ingenting,nothing,480
burd,burde,and said you should eat your food,478
regional,regionala,pacts,478
solg,solgt,sold,478
startet,startet,started,478
ungdom,ungdom,youth,478
sten,sten,stone,477
företaget,företaget,the company,476
reager,reagera,react,476
tromsø,tromsø,tromsø,476
fulg,fulger,follows,475
kirk,kirk,james t. kirk,474
brand,brand,fire,473
kontroller,kontrollera,review,473
påvirk,påvirke,affect,473
sætter,sætter,puts,473
kræver,kræver,requires,472
udvikl,udvikle,develop,472
bekræfted,bekræftede,bekræftede oplysninger,471
numm,numm,numm,471
udenlandsk,udenlandsk,foreign,471
ugen,ugen,ugen,471
består,består,consists of,469
detalj,detalj,detail,469
hensyn,hensyn,consideration,469
købe,købe,buy,469
systemet,systemet,system,469
typisk,typisk,genuine,469
vilj,vilja,want,469
utländsk,utländsk,foreign,468
vetenskap,vetenskap,science,468
publik,publik,audience,467
utegångsförbud,utegångsförbud,curfew,467
lærer,lærer,teacher,466
ophold,ophold,stay,466
pågåend,pågående,running,466
söndag,söndag,sunday,466
efterfrågan,efterfrågan,demand,465
tusental,tusental,0,465
uppgick,uppgick,was the sum,465
vækst,vækst,growth,465
cell,celle,cell,464
karin,karin,karen,464
smittspårning,smittspårning,communicable dis contact tracing,464
finanskris,finanskris,financial crisis,463
immunitet,immunitet,immunity,463
intensiv,intensiv,intense,463
rusland,rusland,russia,463
ferd,ferd,ferd,462
tilbud,tilbud,offers,461
madrid,madrid,madrid,460
protest,protestar,protest,460
stærkt,stærkt,strongly,460
bekräftat,bekräftats,confirmed,459
coronapandemi,coronapandemi,coronapandemi,459
ihop,ihop,merge,459
spillet,spillet,the setup,459
emmanuel,emmanuel,emmanuel,458
central,centrala,center,457
hverdag,hverdag,everyday,457
säkr,säkra,collateralise,457
makt,makt,power,456
solidaritet,solidaritet,solidarity,456
grön,grön,green,455
prognos,prognose,prognosis,455
putin,putin,putin,455
räck,räcka,hand,455
arranger,arrangera,arrange,454
beskyt,beskyt,protect,454
kontrol,kontrol,control,454
rull,rull,roll,454
bryt,bryt,break,452
tilskuer,tilskuere,spectators,452
tysker,tyskere,germans,452
vann,vann,won,452
hopkin,hopkins,anthony hopkins,451
udskud,udskudt,postponed,451
förändring,förändring,change,450
tilføj,tilføj,add,450
fokuser,fokusera,focus,449
folket,folket,people,449
litau,litauen,lithuania,449
salget,salget,sales,449
velkomm,velkommen,welcome,449
forskern,forskerne,the researchers,448
fjern,fjern,remove,445
sikk,sikk,sikk,445
utenf,utenfor,outside stockholm,445
fisk,fisk,fishes,444
hovedstad,hovedstaden,capital region of denmark,444
inled,inleda,initiate,444
politiker,politikere,politicians,444
tredjedel,tredjedel,thirds,444
branch,branche,branch,443
fint,fint,fine,443
sommerferi,sommerferie,summer vacation,443
sundhedsminist,sundhedsminister,minister of health,443
russisk,russisk,russian,442
släpp,släpp,releases,442
testat,testats,tested,442
sannolik,sannolik,likely,441
demonstration,demonstrationen,"how is <x id=""2833""/>’s demonstration of",440
igenom,igenom,way,440
kategori,kategori,categories,440
spor,spor,spore,440
strand,strand,beach,440
daniel,daniel,damien,439
falsk,falsk,false,439
selv,selv,safety extra-low voltage circuit,439
canad,canada,canada,435
uppdater,uppdatera,refresh,435
kväll,kväll,even,434
medlemsländ,medlemsländer,euro member countries,434
samarbeid,samarbeid,cooperation,434
fotboll,fotboll,soccer,433
fredrik,fredrik,fredrik,433
inkluder,inkludera,include,433
samhäll,samhäll,society,432
förhåll,förhålla,relate,431
overf,overf,overf,431
analyser,analysera,analyse,429
føre,føre,lead,429
framåt,framåt,forward,429
hels,helsa,health,429
knap,knap,cleats,429
lyssn,lyssna,hearing,429
modern,modernare,more modern,429
motionär,motionär,member introducing the motion,428
premi,premi,premi,428
utifrån,utifrån,based on,428
glad,glada,kite,427
perfek,perfekt,perfect,427
prøve,prøve,udtaget prøve,427
tilgjenge,tilgjengelig,available,427
koncern,koncernen,group,426
åbning,åbning,opening,425
forventning,forventning,expectation,425
magnus,magnus,magnus,425
afgørend,afgørende,crucial,424
samfund,samfund,community,424
tiltaken,tiltakene,the measures,424
bauer,bauer,bauer hockey,423
inomhus,inomhus,indoor,423
liberal,liberala,liberal youth of sweden,423
lyst,lyst,lys,423
mobil,mobil,mobile,423
populær,populær,popular,423
åtminston,åtminstone,at least here,422
flyttet,flyttet,moved,422
møte,møte,näslund on his way to a meeting,422
polsk,polsk,polish,422
radikal,radikal,radical,422
teknisk,teknisk,technical,422
biograf,biograf,cinema,421
guardian,guardian,the guardian,421
ifrån,ifrån,base on,421
lyckat,lyckats,succeed,421
student,studentar,students,421
tjänst,tjänst,ministry,421
tout,tout,mange-tout,421
unik,unik,unique,421
georg,georg,jorge,420
klassisk,klassisk,classic,420
lanser,lansera,website launcher,420
meddelt,meddelt,announced,419
röst,röst,voice,419
teatr,teatrar,theatre,419
total,totala,total,419
intensivvård,intensivvård,intensive care medicine,418
syft,syfta,aim,418
amazon,amazon,amazon,417
fører,fører,leads,417
förvänt,förvänta,what to expect,417
gammel,gammel,22-00 gammel kongevej,417
kanin,kanin,rabbit,417
sloveni,slovenia,slovenia,417
trafik,trafik,traffic,417
artikel,artikel,accordions item,416
hvid,hvid,white,416
kurv,kurv,curve,416
vind,vind,wind,416
benyt,benyt,use,415
byer,byer,cities,415
irland,irland,ireland,415
mangl,mangla,mangle,415
skolan,skolan,school,414
behandl,behandla,day note,413
følgend,følgende,by the following means of transport,413
kanad,kanada,canada,413
sammenlignet,sammenlignet,compared,413
utgör,utgör,"constitute, make up",413
ansiktsmask,ansiktsmask,face piece,412
grønne,grønne,green,412
orang,orang,orang,412
partiet,partiet,unhold the batch,412
forhindr,forhindre,prevent,411
ordning,ordning,order,411
tvivl,tvivl,doubt,411
världshälsoorganisation,världshälsoorganisation,world health organization,411
åbnet,åbnet,opened,410
billed,billed,picture,410
googl,googla,google,410
mistet,mistet,lost,410
møter,møter,meets,410
niels,nielsen,nielsen,410
prov,prov,quiz,410
brugt,brugt,used,409
skift,skift,shift,409
verdensplan,verdensplan,worldwide,409
eftermiddag,eftermiddag,pm,408
hjælpepakk,hjælpepakke,help package,408
riskgrupp,riskgrupp,vulnerable group,408
innført,innført,introduced,407
ovan,ovan,above,407
bølge,bølge,wave,406
femt,femte,fifth,406
ledd,ledd,conducted rf,406
pludse,pludselig,suddenly,406
begyn,begyne,begin,405
besøk,besøk,"visit <ph id=""mtc_1"" equiv-text=""base64:jxm=""/>&#8217;s website",405
efteråret,efteråret,autumn,405
skatt,skatt,taxation,405
isolering,isolering,isolation,404
baser,baserad,based,403
folkehelseinstituttet,folkehelseinstituttet,the national institute of public health,403
grens,grensa,border,403
omsætning,omsætning,turnover,403
spilt,spilt,played,403
bedrift,bedrift,this is an achievement,402
gæster,gæster,guests,402
intress,intresse,interests,402
vant,vant,shrouds,402
varav,varav,of which,402
återvänd,återvända,returning to the,401
deltog,deltog,participated,401
destination,destination,destination,401
grannländ,grannländer,neighbouring country” criterion,401
konflik,konfliken,the conflict,400
oplysning,oplysning,information,400
driv,driv,motivation,398
officiell,officiell,official,398
suspenderet,suspenderet,suspended,398
fond,fond,reserve,397
frykt,frykt,fear,397
merk,merk,"spam it: <ph id=""mtc_1"" equiv-text=""base64:jxm=""/>",397
pressemeddel,pressemeddelelse,press release,397
pressmeddel,pressmeddelande,press release,397
redovis,redovisa,report coordinating activities,397
vigtigst,vigtigste,most important,396
foreløp,foreløpig,"currently, not that much",394
kast,kast,kickback,394
rådet,rådet,council of the european union,394
deret,deretter,then,393
tack,tack,"i'm good, how about you",393
coronavirusset,coronavirusset,coronavirus,392
strid,strid,combat,392
tillhör,tillhör,search.subheading.foundcode.line-2,392
väck,väck,arouse,392
drift,drift,operation,391
opgav,opgave,task,391
østerrik,østerrike,austria,391
upplev,uppleva,experience,391
bære,bære,carry,390
bransch,bransch,sector,390
etabler,etablera,establish monitoring,390
overhold,overholde,comply,390
snar,snar,snar,390
beroend,beroende,dependence,389
gret,greta,greta,389
hvem,hvem,who's that,389
lære,lære,learn,389
undersøk,undersøk,examine,389
dengang,dengang,then,388
konstateret,konstateret,found,388
mamm,mamma,mum,388
undantag,undantag,exceptions,388
undr,undra,wonder,388
jakob,jakob,jacob,387
rated,rated,not rated,387
ringsted,ringsted,ringsted,387
camping,camping,hotel,386
estland,estland,ee,386
kontrak,kontrakt,deed,386
lägret,lägret,the camp,386
lokalt,lokalt,locally,386
tuff,tuff,cool,386
aflys,aflyse,cancel,385
øvrigt,øvrigt,by the way,385
påvirket,påvirket,affected,385
hälft,hälft,half,384
hänvis,hänvisa,to intercept,384
temperatur,temperatur,temperature,384
ambition,ambition,ambition,383
bekræftet,bekræftet,confirmed,383
hotell,hotell,hotels,383
koronasmit,koronasmitta,coronary heart disease,383
kravet,kravet,the requirement,383
opgør,opgør,showdown,383
särskild,särskild,specific,383
tillad,tilladelse,permission,383
alexand,alexander,alexander,382
annar,annars,otherwise,382
læse,læse,read,382
landskamp,landskamp,cap,382
russland,russland,"china, iran, north korea, russia",382
deutsch,deutsch,deutsch,381
ført,ført,led,381
malmö,malmö,malmö,381
retning,retning,stimulus,381
solberg,solberg,solberg,381
dygn,dygn,day,380
eksport,eksport,"særafgift, der opkræves ved eksport af ris",380
flertal,flertal,majority,380
naturligvis,naturligvis,of course,380
slovaki,slovakia,slovakia,380
fritt,fritt,free,379
pays,pays,cluster pays,379
udgør,udgør,constitute,379
billet,billet,billet,378
hemmet,hemmet,home,378
munnbind,munnbind,bandage,378
nasjonal,nasjonal,national,378
opplys,opplyse,enlighten,378
endr,endra,change,377
forstår,forstår,sense,377
hurtigrut,hurtigruta,hurtigruta,377
muse,musea,museums,377
paul,paul,paul,377
seier,seier,victory,377
baggrund,baggrund,background,376
barcelon,barcelona,barcelona,376
demokratisk,demokratisk,democracy,376
brems,bremse,brake,375
medarbet,medarbetade,proportion of employees with,375
nettsid,nettsida,website,375
tillfäl,tillfällig,stochastic,375
skaff,skaffa,gain,374
vald,vald,chosen,374
avled,avled,he died in 2012,373
bang,bang,boom,373
herhjemm,herhjemme,at home,373
oplevet,oplevet,experienced,373
udstilling,udstilling,exhibition,373
volvo,volvo,volvo,373
opgjort,opgjort,calculated,372
pakk,pakk,pack,372
utomland,utomlands,rest of the world,372
återkomm,återkomma,return,371
coronavaccin,coronavaccin,coronavina vaccine,371
exak,exakt,exactly,371
fördel,fördel,advantage,371
franc,franca,franca,371
mori,mori,mori arinori,371
nilsson,nilsson,nilsson,371
sort,sortar,sortar,371
ubestemt,ubestemt,indefinite,371
weekend,weekenden,weekends,371
betalt,betalt,paid,370
jørgens,jørgensen,jørgensen,370
katastrof,katastrof,disaster,370
koppl,koppla,map,370
ligeled,ligeledes,likewise,370
ment,ment,,370
politi,politi,cop,370
resurs,resursen,the resource,370
ursul,ursula,ursula,370
götaland,götaland,götaland,369
højt,højt,"mutedly, thinking out loud",369
klim,klima,pro-klima,369
mellom,mellom,between,369
oversik,oversikt,courses-overview,369
syri,syria,syria,369
variant,variant,variation,369
gieseck,giesecke,giesecke,368
roskild,roskilde,roskilde,368
utredning,utredning,bbic,367
begræns,begrænse,limit,366
carolin,carolina,carolina,366
hører,hører,without hamilton overhearing,366
bakgrund,bakgrund,background,365
economic,economic,myanmar economic corporation m,365
forment,forment,forment,365
publikum,publikum,the audience,365
vand,vand,>>,365
skjedd,skjedd,happened,364
slagteri,slagteri,slaughterhouse,364
bekymret,bekymret,over the concern,363
boris,boris,about boris,363
förläng,förlänga,extending,363
hard,hardast,hardest,363
heldigvis,heldigvis,"luckily, the politicians have noticed",363
utred,utred,investigation,363
varier,variera,vary,363
ventet,ventet,waited,363
afdeling,afdeling,"directie financiële markten, afdeling integriteit",362
bakk,bakkar,trays,362
eriksson,eriksson,eriksson,362
högt,högt,$$$,362
mikael,mikael,michael,362
peders,pedersen,pedersen per,362
tross,tross,hawser,362
udbruddet,udbruddet,the outbreak,362
accepter,acceptera,agree,361
hårdest,hårdest,hardest,361
kunnet,kunnet,could,361
moped,moped,moped,361
retningslinj,retningslinjen,guideline,361
skat,skat,skat,361
tilsvarend,tilsvarende,these options are not available for the state,361
trodd,trodd,believed,361
ældre,ældre,older,360
tillat,tillate,allow,360
washington,washington,wa,360
hast,hast,"francis rawdon-hastings, 1st marquess of hastings",359
leipz,leipzig,leipzig,359
niel,niels,niels,359
trekk,trekk,move,359
beskedet,beskedet,the news was grim,358
fast,fasta,fast,358
hälsominist,hälsominister,health minister,358
kører,kører,running,358
arbejdsplads,arbejdspladsen,the workplace,357
enskild,enskild,individual,357
avlidn,avlidna,deceased,356
däreft,därefter,thereafter,356
hedd,hedda,hedda,355
høre,høre,hear,355
ibland,ibland,ibland,355
tapp,tapp,tapp,355
valt,valt,valt,355
coronatest,coronatest,coronatest,354
mødes,mødes,mødes,354
nuläget,nuläget,nuläget,354
förstå,förstå,förstå,353
håndtering,håndtering,håndtering,353
migration,migration,migration,353
sikkerhed,sikkerhed,sikkerhed,353
verdenskr,verdenskrig,verdenskrig,353
annorlund,annorlunda,annorlunda,352
sann,sann,sann,352
tävling,tävling,tävling,352
borgern,borgerne,borgerne,351
fossil,fossil,fossil,351
pair,paire,paire,351
riktlinj,riktlinjer,riktlinjer,351
teknologi,teknologi,teknologi,351
avsnit,avsnitt,avsnitt,350
hundr,hundra,hundra,350
kristian,kristian,kristian,350
närvar,närvara,närvara,350
national,nationale,nationale,350
svaret,svaret,svaret,350
avstand,avstand,avstand,349
fabrik,fabrik,fabrik,348
fjor,fjor,fjor,348
framöv,framöver,framöver,348
inkludert,inkludert,inkludert,348
tillverk,tillverka,tillverka,348
udbred,udbrede,udbrede,348
allr,allra,allra,347
arrangement,arrangementa,arrangementa,347
ecdc,ecdc,ecdc,347
förhindr,förhindra,förhindra,347
kommenter,kommentera,kommentera,347
läkemedel,läkemedel,läkemedel,347
økning,økning,økning,347
strategin,strategin,strategin,347
carlson,carlson,carlson,346
mänsk,mänska,mänska,346
marker,markera,markera,346
universitetet,universitetet,universitetet,346
henholdsvis,henholdsvis,henholdsvis,345
hotspot,hotspot,hotspot,345
kritiser,kritisera,kritisera,345
sykdomm,sykdommen,sykdommen,345
beton,beton,beton,344
bundes,bundesliga,bundesliga,344
gott,gott,gott,344
oplyst,oplyst,oplyst,344
samfunnet,samfunnet,samfunnet,344
union,unionen,unionen,344
lass,lass,lass,343
liga,ligaen,"some danish football for you today, sas ligaen",343
oavset,oavsett,whatever,343
oklart,oklart,unclear,343
plöts,plötslig,sudden,343
simon,simon,simon,343
stolt,stolt,proud,343
utmaning,utmaning,challenge,343
broms,bromsa,to kill,342
institution,institutionen,within the institution,342
ischgl,ischgl,ischgl,342
smittskyddsmynd,smittskyddsmyndighet,infection control authority,342
centralbank,centralbank,central bank,341
desto,desto,so much the better,341
fand,fand,"<g id=""2930"">fand </g><g id=""2933"">samie</g>",341
fotball,fotball,comments by vålerenga fotball,341
fremgår,fremgår,appears,341
hemsid,hemsida,homepage,341
sjukhuset,sjukhuset,sjukhuset,341
audioarticleepisod,audioarticleepisode,audioarticleepisode,340
begynt,begynt,begins,340
försvin,försvinna,a void,340
manglend,manglende,missing,340
anvend,anvende,apply,339
immun,immun,immune system,339
parent,parentes,parenthesis,339
praktisk,praktisk,practical,339
regel,regel,rule,339
utbrottet,utbrottet,sorry for the anger,339
utrikesminist,utrikesminister,foreign minister,339
corona,coronaen,coronaen,338
dødel,dødelig,lethal,338
italy,italy,italy,338
paradis,paradis,paradise,338
beräkn,beräkna,calculating,337
förbud,förbud,prohibition,337
gennemfør,gennemføre,implement,337
intet,intet,nothing,337
kjøpe,kjøpe,buy,337
navnet,navnet,näslund reacts to the name,337
siffran,siffran,digit,337
skilj,skilja,differ from,337
vänn,vännen,the friend,337
afvis,afvisar,rejects,336
coronafall,coronafall,coronafall,336
följt,följt,followed,336
skarp,skarp,pungent,336
deltager,deltagere,participants,335
dygnet,dygnet,day,335
finansiering,finansiering,financing,335
frankfurt,frankfurt,frankfurt,335
innbygger,innbyggere,inhabitants,335
johansson,johansson,johansson,335
kundern,kunderne,customers,335
usikkerhed,usikkerhed,uncertainty,335
afhæng,afhænge,depend,334
anerkendelsesværd,anerkendelsesværdige,recognizable,334
föräldr,föräldrar,parents,334
halvdel,halvdel,half,334
sørens,sørensen,sørensen,334
vänd,vänd,turn,334
allv,allvar,serio,333
israel,israel,israel,333
svag,svag,weak,333
udtryk,udtryk,expression,333
uttryck,uttryck,expression,333
desemb,desember,december,332
evenemang,evenemang,event,332
poeng,poeng,this exam comprises a total of 400 yh credits,332
utök,utöka,extend,332
utställning,utställning,display,332
britt,britt,britt,331
dekk,dekk,her occupational cover is a nurse,331
hverandr,hverandre,they smile apologetically to each other,331
afvist,afvist,rejected,330
arbetslös,arbetslös,unemployed,330
sønderjylland,sønderjylland,southern jutland,330
studer,studera,study,330
cbrain,cbrain,cbrain,329
dokumentation,dokumentation,documentation,329
lugn,lugn,quiet,329
såväl,såväl,and,329
epidemin,epidemin,the epidemic is under control,328
hest,hest,horse,328
høyer,høyere,higher,328
klimatmål,klimatmål,these climate-protection targets should not be called into question,328
koll,koll,count,328
matti,matti,matti: hell is for heroes,328
tillgäng,tillgänglig,availa,328
væsent,væsentlig,significantly,328
bestilt,bestilt,ordered,327
boend,boende,accommodation,327
information,informationen,information,327
kærest,kæreste,girlfriend,327
organisasjon,organisasjon,organization,327
profil,profil,profile,327
anderled,anderledes,different,326
coronaviruspandemi,coronaviruspandemi,coronavirus pandemic,326
foretaget,foretaget,about the company,326
hverk,hverken,neither,326
mäng,mängd,mängd,326
maskin,maskin,machine,326
opdateret,opdateret,updated,326
rapporterat,rapporterats,capacity to carry out certain tasks,326
sommerhus,sommerhus,cottage,326
unngå,unngå,avoid,326
utro,utro,utro,326
koron,korona,corona discharge,325
värr,värre,went worse,325
åbent,åbent,open,324
følels,følelse,feeling,324
ingår,ingår,included,324
musikk,musikk,hamilton puts on music in the apartment,324
nuvar,nuvarande,current,324
spredt,spredt,spread,324
mænd,mænd,men,323
bolag,bolag,company,322
carl,carl,carl,322
umiddelbart,umiddelbart,immediately,322
vild,vild,wild,322
insats,insatsen,the effort,321
rammet,rammet,"scope of the programme<g id=""1""> </g> <g id=""2""> </g> <g id=""3""> </g> <g id=""4""> </g> <g id=""5""> </g> <g id=""6""> </g> <g id=""7""> </g>",321
bevæg,bevæge,move,320
ønske,ønske,squeeze him as hard as you want,320
finansminist,finansminister,finance minister,319
født,født,"stian bjerknes, our son born in 1998",319
louisian,louisiana,la,319
ejer,ejer,owner,318
kæmpe,kæmpe,huge,318
scen,scen,scene,318
turkiet,turkiet,country of turkey,318
afrikansk,afrikansk,africa,317
dahl,dahl,dahl,317
faktum,faktum,fact,317
indsat,indsats,effort,317
morgon,morgon,forenoon,317
bekreftet,bekreftet,bekreftet informasjon”,316
bestämm,bestämma,decide,316
enhet,enhet,unit,316
kigg,kigge,look,316
någonsin,någonsin,ever,315
regeringschef,regeringschef,head of government,315
vardag,vardag,workday,315
apotek,apotek,pharmacies,314
drastisk,drastisk,international trade commitments entered into,314
emil,emil,emil,314
hamburg,hamburg,hamburg,314
likt,likt,,314
ombord,ombord,onboard,314
ønsket,ønsket,wanted,314
perspektiv,perspektiv,perspective,314
socialstyr,socialstyrelse,social services,314
ställt,ställt,posed,314
undervisning,undervisning,instruction,314
kritikk,kritikk,criticism,313
medisinsk,medisinsk,"cost for medical, dental<g id=""2""> and travel</g> expenses",313
skog,skog,forest,313
avlyst,avlyst,canceled,312
høje,høje,high,312
museum,museum,musea,312
skov,skov,periodic onset,312
stadion,stadion,stadium,312
stykk,stykke,the boat with the four of them has traveled some distance out on the lake,312
udbrud,udbrud,outbreak,312
utöv,utöva,perform debt collection services,312
häng,häng,sagging,311
höll,höll,höll,311
huvudstad,huvudstaden,capital (kuwait city,311
konservativ,konservativ,traditional,311
lavt,lavt,low,311
nationellt,nationellt,national,311
belgisk,belgisk,belgium,310
hotellet,hotellet,hotellet,310
nedgang,nedgang,decline,310
partner,partnere,partners,310
pfiz,pfizer,pfizer,310
sundhedsmyndighedern,sundhedsmyndighederne,health authorities,310
bulgari,bulgaria,bulgaria,309
forvej,forvejen,in advance,309
glæder,glæder,pleases,309
lastbil,lastbil,lorry,309
rumäni,rumänien,romania,309
turkey,turkey,turkey,309
valet,valet,valet,309
afhold,afholde,hold,308
aftonbladet,aftonbladet,aftonbladet,308
forretning,forretning,business,308
knappt,knappt,hardly,308
konst,konst,art,308
årsag,årsag,cause,307
européen,européenne,european,307
projektet,projektet,the project,307
finsk,finsk,finnish,306
malt,malt,malty,306
selskap,selskap,company,306
undersök,undersöka,examine,306
basert,basert,based,305
distan,distans,distance,305
arbeidet,arbeidet,kristin leads the work of the investigative team as hamilton shows up,304
brev,brev,letters,304
engang,engang,engang,304
förbättr,förbättra,enhance,304
grækenland,grækenland,greece,304
infrastruktur,infrastruktur,infrastructure,304
nederland,nederland,the netherlands,304
centrum,centrum,centre,303
hungary,hungary,hungary,303
programmet,programmet,application,303
provtagning,provtagning,sample taking,303
skabt,skabt,created,303
udviklet,udviklet,developed,303
förfat,författande,writing,302
fremov,fremover,going forward,302
illegal,illegal,illegal immigration,302
majoritet,majoritet,bulk,302
møder,møder,meetings,302
djur,djur,animals,301
egypt,egypt,egypt etec,301
genåbn,genåbne,reopen,301
gett,gett,foundation has yielded,301
serbi,serbia,serbia,301
tolv,tolv,twelve,301
virologi,virologi,virology,301
